gene	length
ENSG00000031823	7445
ENSG00000032219	7568
ENSG00000032389	5775
ENSG00000032444	7055
ENSG00000032742	5480
ENSG00000033011	5786
ENSG00000033030	7752
ENSG00000033050	4448
ENSG00000033100	4200
ENSG00000033170	6889
ENSG00000033178	11432
ENSG00000033327	6771
ENSG00000033627	10968
ENSG00000033800	4524
ENSG00000033867	9564
ENSG00000034053	6869
ENSG00000034063	5144
ENSG00000034152	3783
ENSG00000034510	492
ENSG00000034533	3427
ENSG00000034677	6031
ENSG00000034693	2222
ENSG00000034713	3034
ENSG00000035115	11165
ENSG00000035141	3086
ENSG00000035403	5818
ENSG00000035499	3806
ENSG00000035664	7041
ENSG00000035681	6165
ENSG00000035687	3666
ENSG00000035862	5633
ENSG00000035928	6713
ENSG00000036054	5168
ENSG00000036257	11501
ENSG00000036448	7062
ENSG00000036549	9008
ENSG00000037042	2772
ENSG00000037241	1164
ENSG00000037474	5506
ENSG00000037637	8984
ENSG00000037749	7213
ENSG00000037757	3456
ENSG00000037897	2621
ENSG00000038002	2675
ENSG00000038210	7332
ENSG00000038219	15860
ENSG00000038274	5153
ENSG00000038358	6173
ENSG00000038382	17500
ENSG00000038427	14831
ENSG00000038532	11944
ENSG00000039123	6578
ENSG00000039139	16475
ENSG00000039319	11461
ENSG00000039523	6730
ENSG00000039560	7702
ENSG00000039650	3531
ENSG00000040199	12493
ENSG00000040275	4777
ENSG00000040341	8998
ENSG00000040487	2686
ENSG00000040531	3398
ENSG00000040633	2783
ENSG00000040933	13202
ENSG00000041353	7432
ENSG00000041357	3839
ENSG00000041802	4818
ENSG00000041880	2928
ENSG00000041982	8687
ENSG00000041988	4072
ENSG00000042062	6009
ENSG00000042088	6221
ENSG00000042286	5131
ENSG00000042317	6872
ENSG00000042429	10773
ENSG00000042445	4264
ENSG00000042493	2607
ENSG00000042753	1704
ENSG00000043093	8412
ENSG00000043143	9873
ENSG00000043514	3054
ENSG00000044090	5628
ENSG00000044115	8830
ENSG00000044446	9029
ENSG00000044459	11167
ENSG00000044574	3908
ENSG00000046647	2424
ENSG00000046651	5212
ENSG00000046653	5675
ENSG00000047056	5656
ENSG00000047188	10816
ENSG00000047230	5510
ENSG00000047249	5090
ENSG00000047315	5901
ENSG00000047346	7755
ENSG00000047365	12428
ENSG00000047410	12350
ENSG00000047578	9692
ENSG00000047579	3078
ENSG00000047621	4939
ENSG00000047634	5475
ENSG00000047644	7114
ENSG00000047648	8357
ENSG00000047849	14901
ENSG00000047932	5025
ENSG00000047936	7856
ENSG00000048028	5719
ENSG00000048052	16827
ENSG00000048140	5218
ENSG00000048162	2852
ENSG00000048342	7570
ENSG00000048392	5548
ENSG00000048405	5793
ENSG00000048471	11298
ENSG00000048544	2110
ENSG00000048649	15740
ENSG00000048707	20346
ENSG00000048740	9873
ENSG00000048828	7296
ENSG00000048991	7898
ENSG00000049130	6030
ENSG00000049167	4847
ENSG00000049192	8567
ENSG00000049239	9321
ENSG00000049245	2760
ENSG00000049246	8059
ENSG00000049323	7329
ENSG00000049449	7225
ENSG00000049540	6542
ENSG00000049541	2197
ENSG00000049618	16334
ENSG00000049656	6557
ENSG00000049759	15717
ENSG00000049769	4162
ENSG00000049860	5067
ENSG00000049883	3637
ENSG00000050130	4350
ENSG00000050165	5059
ENSG00000050327	5818
ENSG00000050344	4249
ENSG00000050393	6057
ENSG00000050405	6317
ENSG00000050426	4400
ENSG00000050438	11415
ENSG00000050628	9882
ENSG00000050730	3768
ENSG00000050748	8955
ENSG00000050820	8335
ENSG00000051009	4736
ENSG00000051108	4178
ENSG00000051128	3422
ENSG00000051180	2863
ENSG00000051341	9099
ENSG00000051382	6531
ENSG00000051523	3357
ENSG00000051596	3437
ENSG00000051620	10356
ENSG00000051825	10304
ENSG00000052126	12596
ENSG00000052723	5894
ENSG00000052749	6801
ENSG00000052795	10868
ENSG00000052802	2892
ENSG00000052841	11284
ENSG00000053254	11033
ENSG00000053371	1781
ENSG00000053372	2822
ENSG00000053501	2431
ENSG00000053747	13522
ENSG00000053770	4371
ENSG00000053900	7494
ENSG00000054116	3313
ENSG00000054118	4736
ENSG00000054148	1908
ENSG00000054267	11073
ENSG00000054277	3480
ENSG00000054282	5353
ENSG00000054356	8261
ENSG00000054392	4296
ENSG00000054523	17693
ENSG00000054598	3447
ENSG00000054611	5305
ENSG00000054654	31405
ENSG00000054793	8317
ENSG00000054965	7823
ENSG00000054967	6322
ENSG00000054983	6825
ENSG00000055044	3299
ENSG00000055070	4747
ENSG00000055130	3548
ENSG00000055147	6543
ENSG00000055163	10509
ENSG00000055208	5758
ENSG00000055211	2248
ENSG00000055332	10753
ENSG00000055483	10409
ENSG00000055609	22650
ENSG00000055732	6623
ENSG00000055813	3982
ENSG00000055917	6858
ENSG00000055950	3573
ENSG00000056050	1436
ENSG00000056097	6792
ENSG00000056277	4634
ENSG00000056558	6449
ENSG00000056586	11545
ENSG00000056661	3511
ENSG00000056736	3038
ENSG00000056972	6553
ENSG00000056998	3646
ENSG00000057019	11274
ENSG00000057252	7033
ENSG00000057608	4033
ENSG00000057657	6369
ENSG00000057663	3924
ENSG00000057757	2186
ENSG00000057935	10580
ENSG00000058056	8440
ENSG00000058063	9196
ENSG00000058085	6543
ENSG00000058091	6841
ENSG00000058262	4697
ENSG00000058272	12490
ENSG00000058453	8871
ENSG00000058600	9454
ENSG00000058668	9721
ENSG00000058673	9700
ENSG00000058729	5502
ENSG00000058799	2259
ENSG00000058804	5135
ENSG00000059122	8413
ENSG00000059145	8504
ENSG00000059377	6271
ENSG00000059378	6285
ENSG00000059573	3756
ENSG00000059588	7743
ENSG00000059691	11757
ENSG00000059728	6321
ENSG00000059758	6547
ENSG00000059769	3675
ENSG00000059804	6159
ENSG00000059915	6327
ENSG00000060069	5296
ENSG00000060138	8615
ENSG00000060237	14370
ENSG00000060339	6002
ENSG00000060491	4702
ENSG00000060642	3382
ENSG00000060656	6700
ENSG00000060688	4011
ENSG00000060718	8265
ENSG00000060749	10537
ENSG00000060762	1525
ENSG00000060971	7106
ENSG00000060982	10372
ENSG00000061273	9936
ENSG00000061337	5706
ENSG00000061455	9350
ENSG00000061656	2240
ENSG00000061676	22520
ENSG00000061794	1979
ENSG00000061918	3724
ENSG00000061936	10157
ENSG00000061938	11297
ENSG00000061987	13121
ENSG00000062194	6493
ENSG00000062282	7904
ENSG00000062370	3848
ENSG00000062485	6402
ENSG00000062582	2613
ENSG00000062598	6714
ENSG00000062650	7280
ENSG00000062716	6916
ENSG00000062725	9866
ENSG00000062822	4856
ENSG00000063046	6146
ENSG00000063169	7147
ENSG00000063176	6008
ENSG00000063177	4209
ENSG00000063241	4408
ENSG00000063244	4115
ENSG00000063245	3849
ENSG00000063322	3835
ENSG00000063438	7678
ENSG00000063587	8148
ENSG00000063601	6332
ENSG00000063660	6514
ENSG00000063761	5317
ENSG00000063854	5052
ENSG00000063978	7276
ENSG00000064012	6808
ENSG00000064042	10862
ENSG00000064102	3345
ENSG00000064115	3888
ENSG00000064199	5205
ENSG00000064225	6288
ENSG00000064309	10600
ENSG00000064313	6547
ENSG00000064393	15220
ENSG00000064419	3933
ENSG00000064490	2533
ENSG00000064545	3281
ENSG00000064547	2980
ENSG00000064601	5856
ENSG00000064607	7744
ENSG00000064651	10664
ENSG00000064652	3550
ENSG00000064655	3618
ENSG00000064666	3928
ENSG00000064687	8365
ENSG00000064703	6019
ENSG00000064726	4169
ENSG00000064763	5411
ENSG00000064886	3295
ENSG00000064932	6476
ENSG00000064933	5152
ENSG00000064961	3857
ENSG00000064989	6144
ENSG00000064995	1580
ENSG00000064999	6766
ENSG00000065000	8618
ENSG00000065029	6789
ENSG00000065054	3550
ENSG00000065057	1658
ENSG00000065060	9844
ENSG00000065135	3206
ENSG00000065150	9671
ENSG00000065154	3388
ENSG00000065183	10275
ENSG00000065243	7014
ENSG00000065268	2474
ENSG00000065308	6908
ENSG00000065320	6431
ENSG00000065328	5454
ENSG00000065357	10215
ENSG00000065413	9228
ENSG00000065427	3815
ENSG00000065457	4486
ENSG00000065485	4030
ENSG00000065491	3462
ENSG00000065518	1889
ENSG00000065526	13294
ENSG00000065534	22166
ENSG00000065548	3125
ENSG00000065559	5714
ENSG00000065600	2914
ENSG00000065613	7974
ENSG00000065615	9635
ENSG00000065621	10344
ENSG00000065665	3916
ENSG00000065717	4038
ENSG00000065802	7410
ENSG00000065809	7019
ENSG00000065833	3378
ENSG00000065882	9027
ENSG00000065883	8921
ENSG00000065911	4870
ENSG00000065923	3838
ENSG00000065970	6296
ENSG00000065978	1930
ENSG00000065989	6644
ENSG00000066027	3820
ENSG00000066044	6956
ENSG00000066084	10361
ENSG00000066117	5136
ENSG00000066135	5172
ENSG00000066136	5990
ENSG00000066230	2783
ENSG00000066248	4687
ENSG00000066279	10887
ENSG00000066322	2458
ENSG00000066379	3672
ENSG00000066422	7416
ENSG00000066427	8470
ENSG00000066455	3295
ENSG00000066557	2884
ENSG00000066583	1940
ENSG00000066629	8899
ENSG00000066651	2690
ENSG00000066654	5092
ENSG00000066697	2763
ENSG00000066739	12722
ENSG00000066777	10970
ENSG00000066827	8900
ENSG00000066855	4629
ENSG00000066923	8583
ENSG00000066926	4473
ENSG00000066933	20250
ENSG00000067048	5738
ENSG00000067057	4827
ENSG00000067064	3589
ENSG00000067066	12691
ENSG00000067082	6139
ENSG00000067113	2016
ENSG00000067141	8117
ENSG00000067167	3878
ENSG00000067177	6350
ENSG00000067182	4005
ENSG00000067191	7094
ENSG00000067208	8276
ENSG00000067221	6178
ENSG00000067225	8572
ENSG00000067248	4728
ENSG00000067334	5985
ENSG00000067365	4824
ENSG00000067369	8843
ENSG00000067445	6716
ENSG00000067533	7883
ENSG00000067560	2582
ENSG00000067596	9302
ENSG00000067646	5737
ENSG00000067704	4162
ENSG00000067715	6494
ENSG00000067798	11179
ENSG00000067829	2710
ENSG00000067836	3683
ENSG00000067900	11064
ENSG00000067955	4129
ENSG00000067992	2695
ENSG00000068001	4545
ENSG00000068024	13443
ENSG00000068028	3677
ENSG00000068079	1973
ENSG00000068097	4866
ENSG00000068120	4032
ENSG00000068137	4839
ENSG00000068305	7030
ENSG00000068308	3329
ENSG00000068323	4278
ENSG00000068354	4223
ENSG00000068366	6415
ENSG00000068383	3701
ENSG00000068394	1735
ENSG00000068400	5779
ENSG00000068438	2740
ENSG00000068489	4080
ENSG00000068650	12172
ENSG00000068654	13519
ENSG00000068697	1946
ENSG00000068724	6949
ENSG00000068745	5624
ENSG00000068784	5045
ENSG00000068793	10435
ENSG00000068796	4774
ENSG00000068878	10259
ENSG00000068885	7175
ENSG00000068903	6204
ENSG00000068912	2592
ENSG00000068971	3376
ENSG00000069011	3511
ENSG00000069020	14697
ENSG00000069248	5057
ENSG00000069275	6546
ENSG00000069329	9723
ENSG00000069345	5039
ENSG00000069399	3242
ENSG00000069424	9253
ENSG00000069431	11421
ENSG00000069482	1300
ENSG00000069493	3219
ENSG00000069509	1399
ENSG00000069667	17033
ENSG00000069702	8654
ENSG00000069712	4623
ENSG00000069849	2584
ENSG00000069869	9097
ENSG00000069943	4539
ENSG00000069956	5281
ENSG00000069966	7487
ENSG00000069974	5603
ENSG00000069998	4936
ENSG00000070010	8736
ENSG00000070018	10337
ENSG00000070047	5769
ENSG00000070061	6048
ENSG00000070081	8993
ENSG00000070087	3440
ENSG00000070159	10071
ENSG00000070214	12613
ENSG00000070269	8077
ENSG00000070366	11060
ENSG00000070367	9269
ENSG00000070371	9843
ENSG00000070404	3144
ENSG00000070413	5596
ENSG00000070423	3677
ENSG00000070444	8728
ENSG00000070476	7357
ENSG00000070495	5949
ENSG00000070501	4106
ENSG00000070540	3402
ENSG00000070610	5079
ENSG00000070614	9043
ENSG00000070669	4455
ENSG00000070718	6276
ENSG00000070756	4752
ENSG00000070759	3460
ENSG00000070761	2371
ENSG00000070770	6905
ENSG00000070778	7396
ENSG00000070785	3043
ENSG00000070808	6150
ENSG00000070814	11278
ENSG00000070831	3470
ENSG00000070882	8100
ENSG00000070950	6983
ENSG00000070961	9491
ENSG00000071051	2990
ENSG00000071054	11918
ENSG00000071082	5791
ENSG00000071127	7827
ENSG00000071189	16417
ENSG00000071205	10759
ENSG00000071242	8243
ENSG00000071243	5214
ENSG00000071246	6498
ENSG00000071282	2578
ENSG00000071462	7944
ENSG00000071537	9559
ENSG00000071539	3560
ENSG00000071553	4884
ENSG00000071564	6061
ENSG00000071575	4588
ENSG00000071626	9272
ENSG00000071655	5173
ENSG00000071794	6024
ENSG00000071859	2567
ENSG00000071889	6240
ENSG00000071894	6096
ENSG00000071967	5176
ENSG00000071994	6476
ENSG00000072041	8556
ENSG00000072042	5518
ENSG00000072062	6144
ENSG00000072071	6292
ENSG00000072110	10626
ENSG00000072121	15706
ENSG00000072133	2890
ENSG00000072134	9844
ENSG00000072135	5774
ENSG00000072163	8487
ENSG00000072195	17910
ENSG00000072201	5725
ENSG00000072210	6457
ENSG00000072274	7887
ENSG00000072310	8039
ENSG00000072364	11297
ENSG00000072401	3486
ENSG00000072415	8743
ENSG00000072422	4841
ENSG00000072501	10674
ENSG00000072506	1115
ENSG00000072518	6154
ENSG00000072571	3932
ENSG00000072609	9214
ENSG00000072657	6835
ENSG00000072682	8502
ENSG00000072736	8806
ENSG00000072756	5518
ENSG00000072778	4865
ENSG00000072786	9083
ENSG00000072803	5577
ENSG00000072818	7421
ENSG00000072832	5823
ENSG00000072840	7923
ENSG00000072849	6386
ENSG00000072864	8035
ENSG00000072952	7702
ENSG00000072954	3005
ENSG00000072958	3813
ENSG00000073008	3519
ENSG00000073009	7462
ENSG00000073050	3459
ENSG00000073060	8240
ENSG00000073111	4899
ENSG00000073146	6872
ENSG00000073150	3102
ENSG00000073169	2363
ENSG00000073331	12325
ENSG00000073417	7886
ENSG00000073464	6750
ENSG00000073536	5463
ENSG00000073578	8383
ENSG00000073584	11023
ENSG00000073605	5917
ENSG00000073614	12091
ENSG00000073711	7839
ENSG00000073712	8510
ENSG00000073756	5269
ENSG00000073792	4735
ENSG00000073803	12623
ENSG00000073849	9151
ENSG00000073910	16059
ENSG00000073921	5833
ENSG00000073969	5009
ENSG00000074047	7341
ENSG00000074054	11099
ENSG00000074071	1097
ENSG00000074181	8799
ENSG00000074201	4592
ENSG00000074219	2980
ENSG00000074266	7016
ENSG00000074319	3839
ENSG00000074356	5717
ENSG00000074370	6866
ENSG00000074410	7313
ENSG00000074416	10056
ENSG00000074527	4166
ENSG00000074582	3379
ENSG00000074590	7008
ENSG00000074603	10211
ENSG00000074621	9084
ENSG00000074657	11951
ENSG00000074695	6767
ENSG00000074696	4469
ENSG00000074755	15878
ENSG00000074800	3958
ENSG00000074842	1678
ENSG00000074855	4979
ENSG00000074935	6973
ENSG00000074964	7847
ENSG00000075089	3813
ENSG00000075131	2755
ENSG00000075142	4237
ENSG00000075151	8353
ENSG00000075188	2406
ENSG00000075213	9371
ENSG00000075218	4242
ENSG00000075223	6268
ENSG00000075234	3578
ENSG00000075239	5584
ENSG00000075240	4886
ENSG00000075275	12817
ENSG00000075292	14127
ENSG00000075303	5081
ENSG00000075336	3640
ENSG00000075391	11818
ENSG00000075399	3428
ENSG00000075407	9626
ENSG00000075413	8891
ENSG00000075415	4685
ENSG00000075420	13299
ENSG00000075426	7157
ENSG00000075539	18170
ENSG00000075568	12991
ENSG00000075618	3707
ENSG00000075624	3256
ENSG00000075643	6281
ENSG00000075651	9953
ENSG00000075702	9775
ENSG00000075711	11001
ENSG00000075785	2717
ENSG00000075790	8409
ENSG00000075826	8360
ENSG00000075856	7270
ENSG00000075914	4442
ENSG00000075945	5014
ENSG00000075975	2848
ENSG00000076003	4118
ENSG00000076043	3699
ENSG00000076053	7885
ENSG00000076067	3570
ENSG00000076108	10918
ENSG00000076201	5981
ENSG00000076242	3748
ENSG00000076248	2567
ENSG00000076321	4254
ENSG00000076344	4798
ENSG00000076351	7951
ENSG00000076356	13781
ENSG00000076382	5467
ENSG00000076513	7350
ENSG00000076555	14159
ENSG00000076604	4594
ENSG00000076641	11023
ENSG00000076650	4488
ENSG00000076662	2950
ENSG00000076685	7320
ENSG00000076706	7420
ENSG00000076716	5057
ENSG00000076770	12199
ENSG00000076924	4673
ENSG00000076928	8630
ENSG00000076984	5145
ENSG00000077044	9441
ENSG00000077063	7035
ENSG00000077092	3697
ENSG00000077097	5965
ENSG00000077147	7095
ENSG00000077150	4479
ENSG00000077152	1065
ENSG00000077157	18537
ENSG00000077232	21586
ENSG00000077235	11562
ENSG00000077238	6091
ENSG00000077254	6918
ENSG00000077264	10312
ENSG00000077312	2361
ENSG00000077348	1488
ENSG00000077380	4695
ENSG00000077420	3981
ENSG00000077454	8954
ENSG00000077458	6042
ENSG00000077463	2787
ENSG00000077514	5508
ENSG00000077549	3476
ENSG00000077585	2279
ENSG00000077684	9110
ENSG00000077713	3115
ENSG00000077721	3251
ENSG00000077782	12698
ENSG00000077809	10442
ENSG00000077942	7136
ENSG00000077943	7528
ENSG00000078018	11559
ENSG00000078043	9236
ENSG00000078053	5636
ENSG00000078061	3497
ENSG00000078070	4321
ENSG00000078098	7003
ENSG00000078124	8442
ENSG00000078140	5245
ENSG00000078142	15176
ENSG00000078177	9835
ENSG00000078237	1602
ENSG00000078246	3181
ENSG00000078269	9985
ENSG00000078304	14289
ENSG00000078319	1114
ENSG00000078369	6351
ENSG00000078401	2033
ENSG00000078403	6844
ENSG00000078487	3318
ENSG00000078618	6619
ENSG00000078668	3144
ENSG00000078674	12470
ENSG00000078687	11058
ENSG00000078699	9457
ENSG00000078747	6664
ENSG00000078804	4228
ENSG00000078808	4709
ENSG00000078902	5983
ENSG00000078967	4713
ENSG00000079102	13527
ENSG00000079134	8099
ENSG00000079150	3080
ENSG00000079156	8028
ENSG00000079215	6265
ENSG00000079246	5463
ENSG00000079257	1504
ENSG00000079263	5829
ENSG00000079277	8060
ENSG00000079308	15595
ENSG00000079313	5186
ENSG00000079332	6914
ENSG00000079335	5729
ENSG00000079337	11995
ENSG00000079387	6366
ENSG00000079432	9494
ENSG00000079435	5206
ENSG00000079459	5202
ENSG00000079462	1419
ENSG00000079482	8224
ENSG00000079616	4312
ENSG00000079691	6881
ENSG00000079739	4090
ENSG00000079785	3817
ENSG00000079805	13443
ENSG00000079819	10247
ENSG00000079931	5293
ENSG00000079950	16387
ENSG00000079974	5870
ENSG00000079999	3761
ENSG00000080189	4106
ENSG00000080200	5003
ENSG00000080298	11037
ENSG00000080345	18166
ENSG00000080371	6670
ENSG00000080493	8361
ENSG00000080503	7132
ENSG00000080546	5121
ENSG00000080561	3097
ENSG00000080573	6750
ENSG00000080603	12746
ENSG00000080608	2707
ENSG00000080802	6999
ENSG00000080815	9947
ENSG00000080819	3666
ENSG00000080822	5217
ENSG00000080823	10996
ENSG00000080824	5248
ENSG00000080839	5954
ENSG00000080845	8789
ENSG00000080947	6813
ENSG00000080986	3600
ENSG00000081014	7359
ENSG00000081019	6819
ENSG00000081026	8180
ENSG00000081041	1500
ENSG00000081051	3259
ENSG00000081059	10063
ENSG00000081087	5325
ENSG00000081154	3102
ENSG00000081177	4601
